Selected for Sampling,Complaint Log Year,Complaint Log Month,Program - BIN,Bank Approved Program Name,Program - Bin Type (SF),Consumer Full Name,Account Token/ID,Date Complaint  Received,Compliant End Date,Days Open,Days Elapsed Calculated,True Complaint or Inquiry?,Complaint Source,Complaint Type,Root Cause,Root Cause Narrative,Complaint Details,Brief Summary of Resolution,Response,Program - Customer Support Method
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,20-act,1/11/25,1/13/25,,2,,Intercom,Card Delivery & Charges,Card Delivery & Charges,,Unrecognized charges,User is experiencing issues with receiving their credit card and unauthorized deductions from their account. We explained provides options for bill payments and transfers from Atlas to linked bank account and use of VC.,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,21-act,2/6/25,2/6/25,,0,,Intercom,Lost Card,Lost card,,Lost card,Closed card and order a replacement physical card,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,22-act,2/1/25,2/1/25,,0,,Intercom,Potential identity theft,Potential identity theft,,User claims they did not open this account,Account closed,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,23-act,2/3/25,2/3/25,,0,,Intercom,Potential identity theft,Potential identity theft,,User claims they did not open this account,Account closed,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,24-act,2/4/25,2/4/25,,0,,Intercom,Potential identity theft,Potential identity theft,,User claims they did not open this account,Account closed,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,25-act,2/4/25,2/8/25,,4,,Intercom,Potential identity theft,Potential identity theft,,User claims they did not open this account,Account closed,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,26-act,2/5/25,2/6/25,,1,,Intercom,Potential identity theft,Potential identity theft,,User claims they did not open this account,Account closed,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,27-act,2/6/25,2/7/25,,1,,Intercom,Potential identity theft,Potential identity theft,,User claims they did not open this account,Account closed,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,28-act,2/7/25,2/16/25,,9,,Intercom,Potential identity theft,Potential identity theft,,User claims they did not open this account,Account closed,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,29-act,2/8/25,2/10/25,,2,,Intercom,Potential identity theft,Potential identity theft,,User claims they did not open this account,Account closed,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,30-act,2/10/24,2/11/24,,1,,Intercom,Potential identity theft,Potential identity theft,,User claims they did not open this account,Account closed,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,31-act,2/11/25,2/14/25,,3,,Intercom,Potential identity theft,Potential identity theft,,User claims they did not open this account,Account closed,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,32-act,2/14/25,2/14/25,,0,,Intercom,Potential identity theft,Potential identity theft,,User claims they did not open this account,Account closed,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,33-act,2/14/25,2/16/25,,2,,Intercom,Potential identity theft,Potential identity theft,,User claims they did not open this account,Account closed,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,34-act,2/17/25,2/19/25,,2,,Intercom,Potential identity theft,Potential identity theft,,User claims they did not open this account,Account closed,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,35-act,2/10/25,2/19/25,,9,,Intercom,Potential identity theft,Potential identity theft,,User claims they did not open this account,Account closed,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,36-act,2/20/25,2/21/25,,1,,Intercom,Potential identity theft,Potential identity theft,,User claims they did not open this account,Account closed,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,37-act,2/21/25,2/21/25,,0,,Intercom,Potential identity theft,Potential identity theft,,User claims they did not open this account,Account closed,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,38-act,2/21/25,2/23/25,,2,,Intercom,Potential identity theft,Potential identity theft,,User claims they did not open this account,Account closed,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,39-act,2/24/25,2/24/25,,0,,Intercom,Potential identity theft,Potential identity theft,,User claims they did not open this account,Account closed,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,40-act,2/24/25,2/24/25,,0,,Intercom,Potential identity theft,Potential identity theft,,User claims they did not open this account,Account closed,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,41-act,1/2/25,1/8/25,,6,,Form,Funded No Items,Other,,Customer disputed the delivery date of their items,Advised customer to provide proof of delivery date in order to have account updated.,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,42-act,1/2/25,1/2/25,,0,,Form,Damaged Items,Other,,Customer claimed the items had become damaged.,"Advised customer that warranty claims must be handled with the merchant directly, as Koalafi does not offer warranties",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,43-act,1/3/25,1/3/25,,0,,Form,Threat of external complaint,Other,,Customer disputed the terms of the early purchase option,Advised customer of remaining early purchase discount,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,44-act,1/3/25,1/10/25,,7,,Form,Voluntary Return,Other,,Customer requested a Voluntary Return of their leased items,"Voluntary Return pickup completed, customer was advised of remaining minimum agreement term",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,45-act,1/3/25,1/3/25,,0,,Form,Threat of external complaint,Other,,Customer requested a Voluntary Return of their leased items,"Voluntary return pickup completed, no further payments owed or action required.",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,46-act,1/3/25,1/28/25,,25,,Form,Funded No Items,Other,,Customer stated items had not been delivered,Account cancelled per customer's request,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,47-act,1/3/25,1/10/25,,7,,Form,Voluntary Return,Other,,Customer requested a Voluntary Return of their leased items,"Unable to reach customer to schedule pickup for voluntary return, advised customer VR was cancelled and provided contact info should they wish to resume the process",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,48-act,1/4/25,1/29/25,,25,,Form,Voluntary Return,Other,,Customer requested a Voluntary Return of their leased items,"Voluntary Return pickup completed, customer was advised of remaining minimum agreement term",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,49-act,1/6/25,1/15/25,,9,,Form,Funded No Items,Other,,Customer stated items had not been delivered,"Advised customer to speak with the merchant directly to confirm delivery date or cancellation, no further action needed",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,50-act,1/6/25,1/10/25,,4,,Form,Voluntary Return,Other,,Customer requested a Voluntary Return of their leased items,"Customer opted to cancel VR and keep items, no further action required",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,51-act,1/7/25,1/17/25,,10,,Form,Pre-Funded Cancellation,Card cancelled/non-regulatory,,Customer requested to have their account cancelled,"Advised customer they will need to cancel their order with the merchant first, then Koalafi can process the lease cancellation",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,52-act,1/7/25,2/7/25,,31,,Form,Funded No Items,Other,,Customer stated items had not been delivered,Account cancelled per customer's request,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,53-act,1/7/25,1/13/25,,6,,Form,"Lease Terms and Fees (Cash +, Payment Frequency, 1st Payment)",Other,,Customer disputed the terms of the early purchase option,Provided the customer the option to utilize their early purchase option despite it being expired as a courtesy. No further action required,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,54-act,1/8/25,1/8/25,,0,,Form,"Lease Terms and Fees (Cash +, Payment Frequency, 1st Payment)",Other,,Customer disputed the items leased.,"Duplicate case, no action required",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,55-act,1/8/25,1/21/25,,13,,Form,Funded No Items,Other,,Customer stated items had not been delivered,Account cancelled per customer's request,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,56-act,1/9/25,1/27/25,,18,,Form,Funded No Items,Other,,Customer stated items had not been delivered,"Adjusted account to remove items that had not been delivered. Advised customer of account changes, no further action required",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,57-act,1/10/25,1/10/25,,0,,Form,Dealer service/item discrepancy,Other,,Customer claimed the items had become damaged.,"Advised customer that warranty claims must be handled with the merchant directly, as Koalafi does not offer warranties",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,58-act,1/10/25,1/18/25,,8,,Form,Funded No Items,Other,,Customer stated items had not been delivered,"Customer did not return the requested signed affidavit, unable to proceed until affidavit is returned",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,59-act,1/11/25,1/15/25,,4,,Form,Lawyer/Legal Issue,Other,,Customer disputed the status of their account.,Advised customer they will need to provide proof of payment to support their claim that the account was paid by a 3rd party,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,60-act,1/11/25,1/21/25,,10,,Form,Funded No Items,Other,,Customer stated items had not been delivered,"Customer did not return the requested signed affidavit, unable to proceed until affidavit is returned",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,61-act,1/14/25,1/21/25,,7,,Form,Voluntary Return,Other,,Customer requested a Voluntary Return of their leased items,"Voluntary Return pickup completed, customer was advised of remaining minimum agreement term",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,62-act,1/14/25,1/17/25,,3,,Form,Pre-Funded Cancellation,Card cancelled/non-regulatory,,Customer requested to have their account cancelled,Advised customer they can cancel their application prior to signing their rental purchase agreement if desired,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,63-act,1/15/25,1/17/25,,2,,Form,Funded No Items,Other,,Customer stated items had not been delivered,Account cancelled per customer's request,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,64-act,1/15/25,1/16/25,,1,,Form,Lawyer/Legal Issue,Other,,Customer disputed the terms of the early purchase option,"Customer was offered a discounted payoff as a courtesy due by 1/29/25, however the customer did not utilize this offer. No further action needed at this time",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,65-act,1/16/25,1/16/25,,0,,Form,Threat of external complaint,Other,,Customer disputed the terms of the early purchase option,Advised customer of their remaining early purchase discount,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,66-act,1/17/25,1/27/25,,10,,Form,Voluntary Return,Other,,Customer requested a Voluntary Return of their leased items,"Voluntary Return pickup completed, customer was advised of remaining minimum agreement term",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,67-act,1/18/25,1/25/25,,7,,Form,Lawyer/Legal Issue,Other,,Customer disputed the terms of the early purchase option,"Customer was offered a discounted payoff as a courtesy due by 2/07/25, however the customer did not utilize this offer. No further action needed at this time",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,68-act,1/20/25,1/27/25,,7,,Form,Funded No Items,Other,,Customer stated items had not been delivered,Account cancelled per customer's request,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,69-act,1/22/25,1/24/25,,2,,Form,Funded No Items,Other,,Customer stated items had not been delivered,Customer advised that they did receive their items and did not need further assistance,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,70-act,1/24/25,1/29/25,,5,,Form,"Lease Terms and Fees (Cash +, Payment Frequency, 1st Payment)",Other,,Customer disputed the terms of the early purchase option,Provided the customer the option to utilize their early purchase option despite it being expired as a courtesy. No further action required,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,71-act,1/27/25,,,,,Form,Voluntary Return,Other,,Customer requested a Voluntary Return of their leased items,Investigation in progress,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,72-act,1/27/25,1/30/25,,3,,Form,"Lease Terms and Fees (Cash +, Payment Frequency, 1st Payment)",Other,,Customer disputed a processed payment.,"Advised customer their additional payment could be refunded if desired, customer acknowledged and advised they did not need further assistance at this time",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,73-act,1/27/25,1/31/25,,4,,Form,Voluntary Return,Other,,Customer requested a Voluntary Return of their leased items,"Voluntary Return pickup completed, customer was advised of remaining minimum agreement term",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,74-act,1/28/25,,,,,Form,Pre-Funded Cancellation,Card cancelled/non-regulatory,,Customer requested to have their account cancelled,Investigation in progress,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,75-act,1/29/25,,,,,Form,Lawyer/Legal Issue,Other,,Customer disputed the terms of the rental purchase agreement.,Investigation in progress,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,76-act,1/29/25,2/5/25,,7,,Form,Voluntary Return,Other,,Customer requested a Voluntary Return of their leased items,"Voluntary Return pickup completed, customer was advised of remaining minimum agreement term",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,77-act,1/29/25,,,,,Form,Funded No Items,Other,,Customer stated items had not been delivered,Investigation in progress,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,78-act,1/29/25,2/6/25,,8,,Form,Funded No Items,Other,,Customer stated items had not been delivered,"Customer did not return the requested signed affidavit, unable to proceed until affidavit is returned",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,79-act,1/30/25,1/30/25,,0,,Form,Dealer service/item discrepancy,Other,,Customer claimed the items had become damaged.,"Advised customer that warranty claims must be handled with the merchant directly, as Koalafi does not offer warranties",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,80-act,1/31/25,,,,,Form,Funded No Items,Other,,Customer stated items had not been delivered,Investigation in progress,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,81-act,2/25/25,3/3/25,,6,,Form,Voluntary Return,,,Customer requested a Voluntary Return of their leased items,"Customer opted to keep their items and cancel the requested VR, no further assistance needed",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,82-act,2/20/25,,,,,Form,"Lease Terms and Fees (Cash +, Payment Frequency, 1st Payment)",,,Customer disputed the cost of the leased items,Investigation in progress,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,83-act,2/24/25,3/1/25,,5,,Form,Voluntary Return,,,Customer requested a Voluntary Return of their leased items,Voluntary return pickup completed and customer was informed of their remaining minimum agreement term,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,84-act,2/20/25,2/28/25,,8,,Form,Pre-Funded Cancellation,,,Customer requested to have their account cancelled,Account cancelled per customer's request,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,85-act,2/13/25,2/28/25,,15,,Form,Funded No Items,,,Customer stated items had not been delivered,"Adjusted account to align with true delivery date of items as provided by merchant invoice, advised customer of changes and confirmed no further action required",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,86-act,2/26/25,,,,,Form,Pre-Funded Cancellation,,,Customer requested to have their account cancelled,Investigation in progress,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,87-act,2/28/25,,,,,Form,Funded No Items,,,Customer stated items had not been delivered,Investigation in progress,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,88-act,2/24/25,2/28/25,,4,,Form,Funded No Items,,,Customer stated items had not been delivered,Account cancelled per customer's request,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,89-act,2/25/25,2/27/25,,2,,Form,Lawyer/Legal Issue,,,Customer disputed the terms of their payment schedule,Reviewed account and confirmed that the payment schedule is correct and aligned with their rental-purchase agreement. No further action needed at this time,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,90-act,2/27/25,,,,,Form,"Lease Terms and Fees (Cash +, Payment Frequency, 1st Payment)",,,Customer disputed the terms of their early purchase option,Investigation in progress,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,91-act,2/22/25,,,,,Form,"Lease Terms and Fees (Cash +, Payment Frequency, 1st Payment)",,,Customer requested information regarding their payment schedule,Investigation in progress,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,92-act,2/26/25,,,,,Form,Funded No Items,,,Customer stated items had not been delivered,Investigation in progress,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,93-act,2/20/25,2/26/25,,6,,Form,Funded No Items,,,Customer stated items had not been delivered,"Customer did not return signed affidavit as requested, advised customer that investigation cannot continue until the affidavit is returned",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,94-act,2/20/25,,,,,Form,Pre-Funded Cancellation,,,Customer requested to have their account cancelled,Investigation in progress,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,95-act,2/25/25,,,,,Form,Pre-Funded Cancellation,,,Customer requested to have their account cancelled,Investigation in progress,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,96-act,2/24/25,,,,,Form,Funded No Items,,,Customer stated items had not been delivered,Investigation in progress,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,97-act,2/25/25,2/25/25,,0,,Form,Pre-Funded Cancellation,,,Customer requested to have their account cancelled,Account cancelled per customer's request,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,98-act,2/24/25,2/24/25,,0,,Form,Dealer service/item discrepancy,,,Customer disputed the terms of their payment schedule,Reviewed account and confirmed that the payment schedule is correct and aligned with their rental-purchase agreement. No further action needed at this time,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,99-act,2/19/25,2/24/25,,5,,Form,Voluntary Return,,,Customer requested a Voluntary Return of their leased items,Voluntary return pickup completed and customer was informed of their remaining minimum agreement term,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,100-act,2/19/25,2/24/25,,5,,Form,Pre-Funded Cancellation,,,Customer requested to have their account cancelled,Account cancelled per customer's request,N/A,Mobile Chat;Web Chat;Email;Call Center
